STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform
4689,"SUNNAM KUNTA, JUBILLE HILLS",TANK,TELANGANA,26.0,29.0,1.2,2.1,6.9,7.6,940,1114,6.00,63.00,5.20,35.36,3,49,164,540
4700,"LARGE TANK, SAROORNAGAR (V)",TANK,TELANGANA,27.0,30.0,0.0,1.0,7.1,7.6,1468,1603,24.00,28.00,7.00,12.00,2,26,BDL,350
4703,"BULBUL KUNTA, LAXMI NAGAR (V), 
RAJENDRANAGAR",TANK,TELANGANA,22.0,35.0,0.0,1.2,7.2,7.8,1220,2206,8.00,28.00,5.80,18.00,17,63,350,430
4704,"PEDDA CHERUVU, MANSOORABAD (V), 
SAROORNAGAR",TANK,TELANGANA,27.0,30.0,0.0,1.0,7.1,7.9,1380,1782,20.00,34.00,2.60,24.00,20,58,25,430
1727,"LAXMI NARAYAN BARI PALACE COMPOUND, 
TRIPURA",LAKE,TRIPURA,21.0,28.0,6.2,6.9,6.7,8.0,108,194,0.40,2.70,0.19,0.32,94,150,150,220
1728,"RUDRASAGAR, SONUMURA, TRIPURA",LAKE,TRIPURA,20.5,27.0,6.7,7.2,6.5,7.5,106,194,1.20,2.90,0.22,0.39,70,130,170,240
3391,"DHAMBUR LAKE, DHALAI",LAKE,TRIPURA,20.5,28.0,6.3,7.6,6.7,7.9,105,248,0.80,2.66,0.20,3.03,84,120,150,220
4192,MBB COLLEGE LAKE,LAKE,TRIPURA,21.5,28.0,6.6,7.9,6.8,7.6,112,165,0.60,2.68,0.29,1.81,63,130,120,240
4193,"DIMASAGAR LAKE, NORTH GATE",LAKE,TRIPURA,22.0,28.0,6.7,7.7,7.0,7.7,106,177,0.60,2.80,0.31,2.37,58,130,130,220
3392,"SHIPAHIJALA POND, WEST TRIPURA",POND,TRIPURA,21.0,27.5,6.1,7.5,6.7,7.5,106,167,1.10,2.94,0.32,2.72,58,130,140,220
3393,"BRAMAKUNDA POND, WEST TRIPURA",POND,TRIPURA,21.5,28.0,6.5,7.6,6.9,7.5,109,179,0.80,2.90,0.25,2.40,43,120,120,220
3394,"KALYANSAGAR AT MATARBARI, SOUTH 
TRIPURA",POND,TRIPURA,21.5,27.5,6.3,7.7,6.6,7.3,111,182,1.80,2.86,0.24,2.46,49,150,130,240
3395,"MAHADEB DIGHI, SOUTH TRIPURA",POND,TRIPURA,21.0,28.0,6.4,8.0,6.7,7.5,112,183,0.70,2.54,0.30,2.20,70,120,120,220
3396,"JAGANNATH DIGHI, SOUTH TRIPURA",POND,TRIPURA,21.5,27.5,6.6,7.9,6.6,7.9,114,157,0.90,2.94,0.22,2.50,46,120,120,220
4194,LALBAHADUR DIGHI POND,POND,TRIPURA,22.0,28.0,6.0,7.8,6.9,7.5,101,177,0.60,2.50,0.27,1.30,47,150,110,240
4195,DURGABARI POND,POND,TRIPURA,21.0,27.5,6.5,7.5,6.9,7.7,108,166,0.58,2.60,0.20,1.13,33,130,130,220
4196,RADHANAGAR POND,POND,TRIPURA,22.0,28.0,6.7,8.0,7.0,7.6,113,169,0.60,3.20,0.29,1.51,84,150,170,240
4197,CHATURDASH DEBATA BARI POND,POND,TRIPURA,21.0,27.0,6.8,8.2,7.0,7.7,105,178,0.70,2.50,0.21,2.03,34,130,130,220
4221,KATAL DIGHI POND,POND,TRIPURA,21.0,27.0,6.3,7.8,7.0,7.9,110,168,0.60,2.08,0.28,1.15,43,130,110,220
1364,"RAMGARH LAKE, U.P.",LAKE,UTTAR PRADESH,12.0,33.0,8.8,9.6,7.5,8.2,438,478,4.20,5.20,0.00,0.00,2200,17000,8400,29000
2499,"SAMARPUR JHEEL, RAEBARELI",LAKE,UTTAR PRADESH,20.0,30.0,5.8,8.5,8.0,8.6,289,521,4.00,5.00,0.00,0.96,3600,5600,4600,8100
2500,"MAAHIL POND, URAI TEHSIL, JALAUN",POND,UTTAR PRADESH,12.6,36.0,0.0,2.6,7.3,8.9,232,2320,22.00,58.00,0.00,0.00,1100,2400,17000,43000
2501,"LAXMI POND, JHANSI",POND,UTTAR PRADESH,17.0,38.3,0.0,8.0,7.1,8.7,180,2460,2.00,92.00,0.00,0.00,2100,3200,35000,92000
1362,"NAINI LAKE AT NAINITAL (WATER INTAKE 
POINT)",LAKE,UTTARAKHAND,6.0,19.0,6.0,7.6,7.4,7.9,360,460,1.20,2.00,0.00,0.00,,,,
3437,BHEEMTAL LAKE,LAKE,UTTARAKHAND,8.0,20.0,6.0,7.4,7.3,7.7,160,240,1.20,1.80,0.00,0.00,,,,
1765,"RABINDRASAROVAR NATIONAL LAKE, 
CALCUTTA, WEST BENGAL",LAKE,WEST BENGAL,18.0,33.0,7.0,9.4,7.1,9.0,354,455,1.00,5.00,0.02,1.85,200,7000,700,17000
2503,"HATISHALA GHAT ON DUDHPUKUR AT 
TARAKESHWAR, HOOGHLY",LAKE,WEST BENGAL,20.0,35.0,3.6,15.3,7.8,8.9,653,812,4.01,14.45,0.16,1.33,8000,220000,17000,500000
2504,"MAINH GHAT ON DUDHPUKUR AT 
TARAKESHWAR, HOOGHLY",LAKE,WEST BENGAL,20.0,35.0,1.6,11.6,7.2,9.0,686,860,4.20,46.45,0.19,1.08,8000,500000,17000,900000
2505,"HANUMAN GHAT ON DUDHPUKUR AT 
TARAKESHWAR, HOOGHLY",LAKE,WEST BENGAL,20.0,35.0,1.5,18.0,7.8,8.8,674,830,2.20,18.60,0.21,1.31,30000,900000,80000,1600000
2519,"KOCHBIHAR LAKE (SAGAR DIGHI), 
COOCHBEHAR",LAKE,WEST BENGAL,18.0,30.0,6.8,8.7,6.8,8.5,41,78,1.20,2.80,0.06,1.20,1700,5000,5000,28000
